name,rank (tur),country,region,total faculty members (tur),international faculty members (tur),total students (tur),international students (tur)
Indian Institute of Technology Bombay (IITB),179.0,India,Asia,876.0,19.0,9402.0,93.0
University of Twente,180.0,Netherlands,Europe,910.0,299.0,9332.0,2235.0
University of Göttingen,181.0,Germany,Europe,3678.0,641.0,30402.0,3736.0
Vrije Universiteit Brussel (VUB),182.0,Belgium,Europe,1792.0,515.0,9284.0,1853.0
Universidade Estadual de Campinas (Unicamp),183.0,Brazil,Latin America,1968.0,109.0,26572.0,966.0
University of Colorado Boulder,184.0,United States,North America,3685.0,566.0,30219.0,2679.0
Vienna University of Technology,185.0,Austria,Europe,706.0,172.0,17479.0,5199.0
University of Rochester,186.0,United States,North America,2569.0,488.0,9636.0,2805.0
Universidad Autónoma de Madrid,187.0,Spain,Europe,2738.0,181.0,26511.0,2976.0
Alma Mater Studiorum - University of Bologna,188.0,Italy,Europe,2990.0,153.0,63399.0,4195.0
University of Reading,189.0,United Kingdom,Europe,1280.0,422.0,13330.0,4077.0
Indian Institute of Science (IISc) Bangalore,190.0,India,Asia,423.0,,4071.0,47.0
University of Cape Town,191.0,South Africa,Africa,1733.0,379.0,19593.0,3325.0
Scuola Normale Superiore di Pisa,192.0,Italy,Europe,86.0,1.0,532.0,48.0
Scuola Superiore Sant'Anna Pisa di Studi Universitari e di Perfezionamento,193.0,Italy,Europe,119.0,1.0,789.0,135.0
Keio University CEMS MIM,194.0,Japan,Asia,3905.0,261.0,33500.0,2178.0
Stockholm University,195.0,Sweden,Europe,2154.0,646.0,28281.0,2636.0
Universitat Autònoma de Barcelona,196.0,Spain,Europe,2187.0,230.0,31986.0,3848.0
Texas A&M University,197.0,United States,North America,3446.0,206.0,60294.0,4900.0
Instituto Tecnológico y de Estudios Superiores de Monterrey,198.0,Mexico,Latin America,1822.0,821.0,13376.0,1412.0
Maastricht University,199.0,Netherlands,Europe,1277.0,502.0,16385.0,8234.0
Universidad de Chile,200.0,Chile,Latin America,2256.0,127.0,38848.0,2134.0
